V1,V2,V3,X1,X2,X3,X4,X5,X6
40,L2,B14,12.67790592,172.3658107,0.022856396,0.046374218,0.007709178,0.131707901
41,L2,B13,12.72523085,172.8304142,0.022808561,0.046263971,0.007688977,0.131432502
42,L2,B13,12.78126725,173.2295009,0.022814644,0.046256224,0.007683942,0.131463514
43,L2,B13,12.79812657,173.5171759,0.022816677,0.046288178,0.00769439,0.131480258
44,L2,B13,12.87491855,174.509821,0.022805942,0.046252189,0.007685958,0.131413119
45,L2,B14,12.78144491,173.8022735,0.022840523,0.046314695,0.007694928,0.131616019
46,L2,B14,12.81228423,174.048959,0.022847508,0.046334838,0.007699122,0.131657011
47,L2,B14,12.48131599,169.6242511,0.022923841,0.046656078,0.007781338,0.132097781
48,L2,B13,12.80526972,174.2090925,0.022767568,0.046182258,0.007675222,0.1312009
49,L3,B9,12.66967843,172.4664138,0.022848953,0.046511128,0.007758505,0.131663197
50,L3,B9,12.69918223,172.8063027,0.022851487,0.046510807,0.007757521,0.131678373
51,L3,B9,12.64857365,172.0497007,0.022846921,0.046502241,0.00775621,0.131653134
52,L3,B9,12.65180828,172.1785725,0.022856854,0.046525307,0.007760643,0.131708561
53,L3,B9,12.6610221,172.1173792,0.022856182,0.046517414,0.007758148,0.131706251
54,L3,B9,12.65349299,172.1420727,0.022862165,0.046532441,0.007761138,0.131740398
55,L3,B9,12.66483872,172.1491398,0.022858916,0.04653016,0.007761622,0.131718953
56,L3,B9,12.69769969,172.7244067,0.022849369,0.046514987,0.007759591,0.131666331
57,L3,B9,12.73225148,173.2797193,0.022839263,0.04649192,0.007755481,0.131608513
58,L3,B9,12.71743219,173.1094423,0.022850027,0.046513789,0.0077592,0.13166864
59,L3,B9,12.62376864,171.5556646,0.022852747,0.046523846,0.00776149,0.131685879
60,L3,B9,12.72080773,172.9602836,0.022839206,0.046491833,0.007755544,0.131605626
61,L3,B9,12.6101991,171.3793182,0.022854779,0.046527851,0.007762195,0.131697508
62,L3,B9,12.72694619,172.8617591,0.022853977,0.046521887,0.00776055,0.131692147
63,L3,B9,12.6652063,172.2269618,0.022834239,0.046499814,0.007759787,0.13157915
64,L3,B9,12.73584144,173.0259667,0.022860075,0.046549368,0.007767568,0.131727366
65,L3,B9,12.75276815,173.1806128,0.022850929,0.046518437,0.007760384,0.131674826
66,L3,B6,12.58065241,171.213614,0.022888315,0.046605179,0.00777642,0.131890263
67,L3,B6,12.6455473,172.061507,0.022894842,0.046619475,0.007779102,0.131927461
68,L3,B9,12.57097301,171.5066102,0.022864083,0.046524284,0.007757859,0.131749635
69,L3,B10,12.8944979,175.5495251,0.022839879,0.046507415,0.007760438,0.13161206
70,L3,B6,12.56420355,170.8402185,0.022898964,0.046598572,0.007770719,0.131952205
71,L3,B6,12.70820613,172.303786,0.022956117,0.046738814,0.007798309,0.132266039
72,L3,B6,12.64887383,172.0293307,0.022837989,0.046499346,0.007758324,0.131598038
73,L3,B6,12.62638453,171.7860541,0.022836029,0.046486892,0.007754898,0.131587893
74,L3,B6,12.67274765,172.2266292,0.022841239,0.046522852,0.007765116,0.131618823
75,L3,B6,12.73610487,173.1648987,0.022880185,0.04661547,0.007782738,0.131843827
76,L2,B2,12.76820618,173.9232467,0.022856983,0.046312356,0.007688145,0.131710045
77,L2,B2,12.78173284,173.769432,0.022835513,0.046287856,0.007687421,0.131587151
78,L2,B2,12.85113662,174.8586894,0.022835356,0.046352789,0.007709545,0.131585006
79,L2,B2,12.80174103,174.0541139,0.022828371,0.04631218,0.007698265,0.131544591
80,L2,B4,12.85339107,174.6105073,0.02281536,0.046275695,0.007690254,0.131470442
81,L2,B8,12.88238027,174.5316045,0.022829545,0.046279232,0.00768769,0.131540797
82,L2,B4,12.82633774,174.3603298,0.022831119,0.046305047,0.007694683,0.131561995
83,L2,B8,12.9059049,174.5902204,0.022853476,0.046388222,0.007714282,0.13169157
84,L2,B4,12.91159002,175.6079747,0.022804682,0.046249967,0.007685317,0.131410232
85,L2,B4,12.78387702,173.7324333,0.022835155,0.046343024,0.007705826,NA
86,L2,B8,12.91230678,175.0766905,0.022838247,0.046323699,0.007698446,0.131602739
87,L2,B8,12.99813492,176.0147937,0.022805269,0.046278326,0.007693915,0.131418563
88,L2,B8,12.85180438,175.0222318,0.022858729,0.046390005,0.007714027,0.131716479
89,L2,B8,12.7846673,173.6252619,0.022845962,0.04633247,0.007699107,0.131646124
90,L2,B7,13.12320752,177.0313841,0.022849812,0.046360828,0.007707446,0.131667486
91,L2,B8,12.79650312,174.4827164,0.022832236,0.046296364,0.007691037,0.131569995
92,L2,B8,12.94230068,175.2030679,0.022837145,0.046306567,0.007694311,0.131590038
93,L2,B7,13.08850869,176.8935328,0.022831935,0.046320337,0.007699973,0.131567851
94,L2,B8,12.88425489,174.8492942,0.022824077,0.046278472,0.007688713,0.131519353
95,L2,B7,12.98580899,175.4786872,0.022847236,0.046373195,0.007711674,0.131655939
96,L2,B7,12.71517775,173.0997146,0.022840566,0.046339837,0.007703222,0.131617421
97,L2,B4,12.77150821,173.6915269,0.022812684,0.046268649,0.007688904,0.131454194
98,L2,B8,12.49485491,170.07048,0.022861721,0.04636267,0.007703619,0.131736933
99,L2,B7,13.12390591,177.1053814,0.022810508,0.046343638,0.00771481,0.131446853
100,L2,B7,13.10400187,176.6737857,0.022836057,0.046317384,0.007696552,0.131586573
101,L2,B5,108.082463,172.3277312,0.02283849,0.046508468,0.007761505,0.131606204
102,L2,B7,13.01002588,175.5496914,0.022839449,0.046329809,0.007700922,0.131606781
103,L2,B3,12.69483262,173.5066167,0.022848252,0.046335949,0.00769918,0.13165932
104,L2,B7,12.97815736,175.957425,0.022824821,0.046294493,0.007694057,0.131516548
105,L2,B14,12.72236379,173.0196478,0.022833595,0.046324255,0.007700467,0.131574284
106,L2,B2,12.77245164,173.7163867,0.022851115,0.046335861,0.007698104,0.131675569
107,L2,B13,12.76833483,173.6759792,0.02282996,0.046310485,0.00769714,0.131552674
108,L2,B13,13.07322381,177.4382862,0.022801333,0.046253505,0.007687969,0.13138986
109,L2,B2,12.94842689,175.4756941,0.022822789,0.046347058,0.007711654,0.131515229
110,L3,B15,12.73105075,173.7216247,0.022868176,0.046571967,0.007770978,0.13179904
111,L3,B15,12.86364633,8314.223856,-6.87E-07,3.89E-06,6.85E-07,1.14E-05
112,L3,B15,12.92888429,175.4315451,0.022876936,0.046579861,0.007771712,0.131824939
113,L3,B15,12.83338288,174.331396,0.022849254,0.046526711,0.007764118,0.131666578
114,L3,B15,12.91434681,174.9639485,0.022853963,0.046541475,0.007765649,0.13172085
115,L3,B15,12.92676463,174.5367594,0.022850342,0.046535394,0.007766016,0.131673754
116,L3,B15,13.14480239,177.4401154,0.022804611,0.046446401,0.007751972,0.131410562
117,L3,B15,8.416946437,8314.223856,0.021197382,0.043296742,0.00724708,0.12214928
118,L3,B15,13.07631755,177.2615241,0.022860733,0.046561852,0.00777136,0.13173116
119,L3,B15,12.91016261,174.2054343,0.022850628,0.046534283,0.007765737,0.131674579
120,L3,B11,12.79302957,173.9981586,0.022853462,0.0465187,0.007759464,0.131690662
121,L3,B11,12.70147343,172.9868063,0.022874446,0.046562378,0.007766868,0.131810423
122,L3,B16,12.87856977,174.1577101,0.02284559,0.046530365,0.007768341,0.131644227
123,L3,B11,12.66172048,172.2425927,0.022870352,0.046557554,0.00776677,0.131786998
124,L1,B1,12.9930808,177.2602769,0.02272397,0.046153665,0.007680526,0.130947193
125,L1,B1,13.17395088,177.9773028,0.022730954,0.046149134,0.007675559,0.130999238
126,L1,B1,13.14521898,177.608397,0.022744939,0.046178486,0.007680913,0.131063984
